id,name,roaster,origin,roastLevel,tastingNotes,rating,dateTried,url,imageUrl
1,"Espresso - Footprints","Koppi Roasters","Blend",Medium-Light,"Chocolate, Caramel, Red Berries",8,2026-03-15,https://koppi.se/products/espresso-footprints?_fid=57713a148,https://koppi.se/cdn/shop/files/espresso-footprints-501319.jpg?v=1740761689
2,"Colombia - Finca El Placer","Koppi Roasters","San Augustin, Huila - Colombia",Light,"Rose hips, Red berries, Aromatic",8,2026-03-16,https://koppi.se/products/colombia-finca-el-placer,https://koppi.se/cdn/shop/files/Colombia-FincaElPlacer_72b9e814-d7c2-4821-b729-0fc1047a93f9.jpg?v=1745480883
3,"Aquiares Red Honey","Spinchy","Costa Rica",Medium,"Honey, Caramel, Red Apple",0,2026-03-19,https://spinchy.com/en/collections/coffee-and-tea/products/kaffebonner-aquiares-red-honey-250g?variant=57462372565376,https://spinchy.com/cdn/shop/files/pTbajfv5mw37OlqYdeXuqeYBNUMCNDXD5k6EXpPDQA.jpg?v=1773410661&width=1200
